,ID,t_w,L,b1,t_p,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s1,beta1,s2,beta2,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
0,0,200.0,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,2.2824578798514787,8789.08203125,5547.05859375,-3941.22607421875,eta_4,0,3.108810120828318,9678.91796875,5547.05859375,-3941.22607421875,eta_3_bot,0,0.5303244940644516,9622.8,92.4,0.0,top,51,1.229855999126297,9622.8,5507.6,0.0,top,0,1.8523406717971131,9678.91796875,5547.05859375,-3941.22607421875,eta_y_bot_stresses
1,1,271.42857142857144,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,3.841254955454197,2883.812744140625,5440.0615234375,-3931.53271484375,eta_4,0,5.916415253206335,9666.2783203125,5440.0615234375,-3931.53271484375,eta_3_bot,0,0.4638246598066514,9592.892307692307,130.31632653061223,0.0,top,37,2.9231812567506426,9592.89230769231,5398.255102040816,0.0,top,0,3.231299753895759,9666.2783203125,5440.0615234375,-3931.53271484375,eta_y_bot_stresses
2,2,342.8571428571429,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,5.990992785828338,3139.8154296875,5333.0048828125,-3738.8232421875,eta_4,0,9.99674168561739,9650.1611328125,5333.0048828125,-3915.376953125,eta_3_bot,0,0.6056363455836014,9554.76,150.07142857142856,0.0,top,30,4.369797946238089,9224.28,0.0,-1352.9,bot,0,5.261553035497469,9650.1611328125,5333.0048828125,-3915.376953125,eta_y_bot_stresses
3,3,414.2857142857143,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,8.256178730873183,2721.919189453125,5225.91796875,-3915.376953125,eta_4,0,14.12349390524054,9632.7021484375,5225.91796875,-3738.8232421875,eta_3_bot,0,0.9101824413641632,9513.45,177.72857142857143,0.0,top,11,13.051973641680792,2205.2249999999995,0.0,-2274.9333333333334,top,0,7.320946936154763,9632.7021484375,5225.91796875,-3738.8232421875,eta_y_bot_stresses
4,4,485.7142857142857,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,11.113332913212606,9620.23046875,2300.887451171875,-1107.6922607421875,eta_1,0,22.97415496071848,9620.23046875,5118.8154296875,-3883.065185546875,eta_3_bot,0,1.5550585592163688,9483.942857142858,219.21428571428575,0.0,bot,0,4.295653660182936,9483.942857142856,5095.071428571429,0.0,bot,0,11.742803699362742,9620.23046875,5118.8154296875,-3883.065185546875,eta_y_bot_stresses
5,5,557.1428571428571,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,12.187130070131683,9052.802734375,231.15501403808597,-1561.7652587890625,eta_4,0,20.54831304480954,9603.6025390625,231.15501403808597,-1296.9346923828125,eta_3_bot,0,4.851055476787267,9444.6,216.2678571428572,0.0,bot,0,7.443875629144749,9444.6,1081.3392857142858,0.0,top,0,10.530981256746747,9603.6025390625,231.15501403808597,-1296.9346923828125,eta_y_bot_stresses
6,6,628.5714285714286,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,14.904444367612088,9052.802734375,266.84637451171875,-1561.7652587890625,eta_4,0,25.59361969740491,9603.6025390625,266.84637451171875,-1296.9346923828125,eta_3_bot,0,5.289311181046335,9444.600000000002,284.4285714285715,0.0,bot,0,10.542964268026129,9444.6,3749.285714285714,0.0,top,0,13.05249916892926,9603.6025390625,266.84637451171875,-1296.9346923828125,eta_y_bot_stresses
7,7,700.0,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,17.520462427745663,8919.3623046875,302.5423583984375,-1561.7652587890625,eta_4,0,30.073145973260647,9580.322265625,302.5423583984375,-1296.9346923828125,eta_3_bot,0,5.341907353237678,9389.52,280.50000000000006,0.0,bot,0,10.878032642103776,9389.52,3697.500000000001,0.0,top,0,15.291787745153044,9580.322265625,302.5423583984375,-1296.9346923828125,eta_y_bot_stresses
8,8,771.4285714285714,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,20.74930766023387,9198.716796875,338.24176025390625,-1561.7652587890625,eta_4,0,35.01656598146814,9580.322265625,338.24176025390625,-1296.9346923828125,eta_3_bot,0,5.380740589288394,9389.52,276.57142857142856,0.0,bot,0,11.125556379599397,9389.52,3645.714285714285,0.0,top,0,16.432636085094696,9580.322265625,2349.76806640625,-1140.0,eta_y_top_stresses
9,9,842.8571428571429,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,27.706585113118933,632.4385986328125,373.9436645507813,-1296.9346923828125,eta_4,0,44.47412073534299,169.46141052246094,373.9436645507813,-1561.7652587890625,eta_3_bot,0,6.44279955723878,400.9500000000001,408.96428571428567,0.0,bot,0,7.855888567771337,2004.75,4548.178571428571,0.0,bot,0,19.24739522861442,169.46141052246094,1813.9434814453125,-1145.45458984375,eta_y_top_stresses
10,10,914.2857142857144,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,35.90431224849255,4178.96142578125,409.6474914550781,-1561.7652587890625,eta_4,0,53.644589388114674,9545.4033203125,409.6474914550781,-1296.9346923828125,eta_3_bot,0,6.813455517841704,9306.9,403.07142857142856,0.0,bot,0,11.777812168276515,9306.9,1209.2142857142858,0.0,top,0,21.41610482938446,9545.4033203125,2267.336669921875,-1147.8260498046875,eta_y_top_stresses
11,11,985.7142857142858,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,25.38281954146221,169.46141052246094,1761.66845703125,-1104.0,eta_1,0,58.76061716304923,2236.238525390625,2234.188720703125,-1104.0,eta_3_top,0,5.493467873362322,2806.6500000000005,397.1785714285714,0.0,bot,0,11.353518419916538,2806.6500000000005,1191.5357142857142,0.0,top,0,29.65217751986037,2236.238525390625,1761.66845703125,-1104.0,eta_y_top_stresses
12,12,1057.142857142857,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,40.345081359394456,169.46141052246094,2201.040771484375,-1111.111083984375,eta_1,0,80.08043266253661,2236.238525390625,481.0593872070313,-1393.869384765625,eta_3_bot,0,6.632821830781514,2806.6500000000005,391.28571428571433,0.0,bot,0,11.897609412013152,2004.75,1173.8571428571431,0.0,top,0,40.29383017518036,2236.238525390625,481.0593872070313,-1393.869384765625,eta_y_bot_stresses
13,13,1128.5714285714284,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,37.45216966025422,9487.2041015625,1709.3931884765625,-1117.2413330078125,eta_1,0,73.89260072899874,9487.2041015625,516.7669067382812,-1393.869384765625,eta_3_bot,0,5.772357235517752,9169.2,385.3928571428572,0.0,bot,0,10.40285842290682,9169.2,1156.1785714285716,0.0,top,0,37.20397089722276,9487.2041015625,516.7669067382812,-1393.869384765625,eta_y_bot_stresses
14,14,1200.0,5800,9720,1200,2780,90,0,0,30,30,40,40,40,40,200,24,12,12,14,200,28,390,1.046,0.045,2250.0,5.6,8270.0,0,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9720,0.33,0.33,-0.002,407.94,39.8681599018286,225.94854736328125,2916.743896484375,-1120.0,eta_1,0,82.35132898255279,9487.2041015625,552.0,-1393.869384765625,eta_3_bot,0,5.8608386386029325,9169.2,379.5,0.0,bot,0,11.489069462448107,9169.2,3461.5,0.0,top,0,41.43356544615135,9487.2041015625,552.0,-1393.869384765625,eta_y_bot_stresses
